timestamp,gameid,value,label
"Date:  Sat, 01 Aug 2020 00:32:36 GMT1 week ago",3515695,5.06,1
"Date:  Sat, 01 Aug 2020 00:33:08 GMT1 week ago",3515696,1.76,0
"Date:  Sat, 01 Aug 2020 00:33:24 GMT1 week ago",3515697,40.2,1
"Date:  Sat, 01 Aug 2020 00:34:26 GMT1 week ago",3515698,5.41,1
"Date:  Sat, 01 Aug 2020 00:34:58 GMT1 week ago",3515699,1.44,0
"Date:  Sat, 01 Aug 2020 00:35:12 GMT1 week ago",3515700,1.55,0
"Date:  Sat, 01 Aug 2020 00:35:27 GMT1 week ago",3515701,38.67,1
"Date:  Sat, 01 Aug 2020 00:36:28 GMT1 week ago",3515702,37.66,1
"Date:  Sat, 01 Aug 2020 00:37:28 GMT1 week ago",3515703,1.39,0
"Date:  Sat, 01 Aug 2020 00:37:41 GMT1 week ago",3515704,1.71,0
"Date:  Sat, 01 Aug 2020 00:37:57 GMT1 week ago",3515705,1.53,0
"Date:  Sat, 01 Aug 2020 00:38:12 GMT1 week ago",3515706,7.75,1
"Date:  Sat, 01 Aug 2020 00:38:50 GMT1 week ago",3515707,1.31,0
"Date:  Sat, 01 Aug 2020 00:39:02 GMT1 week ago",3515708,2.03,1
"Date:  Sat, 01 Aug 2020 00:39:20 GMT1 week ago",3515709,9.06,1
"Date:  Sat, 01 Aug 2020 00:40:00 GMT1 week ago",3515710,1.05,0
"Date:  Sat, 01 Aug 2020 00:40:09 GMT1 week ago",3515711,3.8,1
"Date:  Sat, 01 Aug 2020 00:40:37 GMT1 week ago",3515712,1.24,0
"Date:  Sat, 01 Aug 2020 00:40:48 GMT1 week ago",3515713,2.26,1
"Date:  Sat, 01 Aug 2020 00:41:08 GMT1 week ago",3515714,3.03,1
"Date:  Sat, 01 Aug 2020 00:41:33 GMT1 week ago",3515715,6.14,1
"Date:  Sat, 01 Aug 2020 00:42:07 GMT1 week ago",3515716,2.17,1
"Date:  Sat, 01 Aug 2020 00:42:27 GMT1 week ago",3515717,4.27,1
"Date:  Sat, 01 Aug 2020 00:42:56 GMT1 week ago",3515718,1.89,0
"Date:  Sat, 01 Aug 2020 00:43:13 GMT1 week ago",3515719,3.34,1
"Date:  Sat, 01 Aug 2020 00:43:39 GMT1 week ago",3515720,14.33,1
"Date:  Sat, 01 Aug 2020 00:44:26 GMT1 week ago",3515721,30.83,1
